Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2018,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),945.419877
2018,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),328.576693
2018,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),118.460893
2018,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),1519.335999
2018,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),10699.35228
2018,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),195.625545
2018,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),886.873454
2018,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1142.113807
2018,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),696.112156
2018,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),141.79161
2018,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),121.662933
2018,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),192.231353
2018,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),90.11014
2018,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),428.923195
2018,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),733.929777
2018,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),176.918834
2018,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),99.371739
2018,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),1527.485227
2018,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),6356.087636
2018,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),186.130735
2018,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),838.170365
2018,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1171.024431
2018,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),669.827046
2018,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),107.842472
2018,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),174.176429
2018,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),150.413444
2018,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),61.798212
2018,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),410.170026
2019,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),1018.517404
2019,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),585.087302
