Year,Series,Region,Wall Material,Roof Material,Type of Lighting,Type of Cooking Fuel,Unnamed: 8,Value
2009,Number of private households main source lighting,Sanma,,,Elecricity- main grid,,,671
2009,Number of private households main source lighting,Sanma,,,Electricty- own generator,,,161
2009,Number of private households main source lighting,Sanma,,,Others,,,452
2009,Number of private households main source lighting,Sanma,,,Solar,,,234
2009,Number of private households main source lighting,Penama,,,,,,6620
2009,Number of private households main source lighting,Penama,,,Candles,,,66
2009,Number of private households main source lighting,Penama,,,Lamp (non-renewable),,,5928
2009,Number of private households main source lighting,Penama,,,Elecricity- main grid,,,166
2009,Number of private households main source lighting,Penama,,,Electricty- own generator,,,47
2009,Number of private households main source lighting,Penama,,,Others,,,283
2009,Number of private households main source lighting,Penama,,,Solar,,,130
2009,Number of private households main source lighting,Malampa,,,,,,7991
2009,Number of private households main source lighting,Malampa,,,Candles,,,117
2009,Number of private households main source lighting,Malampa,,,Lamp (non-renewable),,,6329
2009,Number of private households main source lighting,Malampa,,,Elecricity- main grid,,,523
2009,Number of private households main source lighting,Malampa,,,Electricty- own generator,,,104
2009,Number of private households main source lighting,Malampa,,,Others,,,511
2009,Number of private households main source lighting,Malampa,,,Solar,,,407
2009,Number of private households main source lighting,Shefa,,,,,,6876
2009,Number of private households main source lighting,Shefa,,,Candles,,,402
2009,Number of private households main source lighting,Shefa,,,Lamp (non-renewable),,,3558
2009,Number of private households main source lighting,Shefa,,,Elecricity- main grid,,,2095
2009,Number of private households main source lighting,Shefa,,,Electricty- own generator,,,291
2009,Number of private households main source lighting,Shefa,,,Others,,,142
2009,Number of private households main source lighting,Shefa,,,Solar,,,388
2009,Number of private households main source lighting,Tafea,,,,,,5853
2009,Number of private households main source lighting,Tafea,,,Candles,,,191
2009,Number of private households main source lighting,Tafea,,,Lamp (non-renewable),,,3628
2009,Number of private households main source lighting,Tafea,,,Elecricity- main grid,,,494
2009,Number of private households main source lighting,Tafea,,,Electricty- own generator,,,31
2009,Number of private households main source lighting,Tafea,,,Others,,,1171
2009,Number of private households main source lighting,Tafea,,,Solar,,,338
2020,Number of private households main source lighting,,,,,,,63365
2020,Number of private households main source lighting,,,,Candles,,,218
2020,Number of private households main source lighting,,,,Lamp (non-renewable),,,731
2020,Number of private households main source lighting,,,,Elecricity- main grid,,,19031
2020,Number of private households main source lighting,,,,Electricty- own generator,,,327
2020,Number of private households main source lighting,,,,Others,,,390
2020,Number of private households main source lighting,,,,Solar,,,42668
2020,Number of private households main source lighting,Port Vila,,,,,,11118
2020,Number of private households main source lighting,Port Vila,,,Candles,,,108
2020,Number of private households main source lighting,Port Vila,,,Lamp (non-renewable),,,47
2020,Number of private households main source lighting,Port Vila,,,Elecricity- main grid,,,9442
2020,Number of private households main source lighting,Port Vila,,,Electricty- own generator,,,18
2020,Number of private households main source lighting,Port Vila,,,Others,,,33
2020,Number of private households main source lighting,Port Vila,,,Solar,,,1470
2020,Number of private households main source lighting,Luganville,,,,,,3584
2020,Number of private households main source lighting,Luganville,,,Candles,,,9
2020,Number of private households main source lighting,Luganville,,,Lamp (non-renewable),,,10
2020,Number of private households main source lighting,Luganville,,,Elecricity- main grid,,,2743
2020,Number of private households main source lighting,Luganville,,,Electricty- own generator,,,10
2020,Number of private households main source lighting,Luganville,,,Others,,,17
2020,Number of private households main source lighting,Luganville,,,Solar,,,795
2020,Number of private households main source lighting,Torba,,,,,,2392
2020,Number of private households main source lighting,Torba,,,Candles,,,4
2020,Number of private households main source lighting,Torba,,,Lamp (non-renewable),,,53
2020,Number of private households main source lighting,Torba,,,Elecricity- main grid,,,47
2020,Number of private households main source lighting,Torba,,,Electricty- own generator,,,18
2020,Number of private households main source lighting,Torba,,,Others,,,11
2020,Number of private households main source lighting,Torba,,,Solar,,,2258
2020,Number of private households main source lighting,Sanma,,,,,,9306
2020,Number of private households main source lighting,Sanma,,,Candles,,,21
2020,Number of private households main source lighting,Sanma,,,Lamp (non-renewable),,,115
2020,Number of private households main source lighting,Sanma,,,Elecricity- main grid,,,859
2020,Number of private households main source lighting,Sanma,,,Electricty- own generator,,,39
2020,Number of private households main source lighting,Sanma,,,Others,,,75
2020,Number of private households main source lighting,Sanma,,,Solar,,,8196
2020,Number of private households main source lighting,Penama,,,,,,7863
2020,Number of private households main source lighting,Penama,,,Candles,,,7
2020,Number of private households main source lighting,Penama,,,Lamp (non-renewable),,,149
2020,Number of private households main source lighting,Penama,,,Elecricity- main grid,,,77
2020,Number of private households main source lighting,Penama,,,Electricty- own generator,,,54
2020,Number of private households main source lighting,Penama,,,Others,,,45
2020,Number of private households main source lighting,Penama,,,Solar,,,7531
2020,Number of private households main source lighting,Malampa,,,,,,9715
2020,Number of private households main source lighting,Malampa,,,Candles,,,9
2020,Number of private households main source lighting,Malampa,,,Lamp (non-renewable),,,130
2020,Number of private households main source lighting,Malampa,,,Elecricity- main grid,,,965
2020,Number of private households main source lighting,Malampa,,,Electricty- own generator,,,68
2020,Number of private households main source lighting,Malampa,,,Others,,,61
2020,Number of private households main source lighting,Malampa,,,Solar,,,8482
2020,Number of private households main source lighting,Shefa,,,,,,11148
2020,Number of private households main source lighting,Shefa,,,Candles,,,39
2020,Number of private households main source lighting,Shefa,,,Lamp (non-renewable),,,80
2020,Number of private households main source lighting,Shefa,,,Elecricity- main grid,,,3931
2020,Number of private households main source lighting,Shefa,,,Electricty- own generator,,,118
2020,Number of private households main source lighting,Shefa,,,Others,,,36
2020,Number of private households main source lighting,Shefa,,,Solar,,,6943
2020,Number of private households main source lighting,Tafea,,,,,,8239
2020,Number of private households main source lighting,Tafea,,,Candles,,,19
2020,Number of private households main source lighting,Tafea,,,Lamp (non-renewable),,,147
2020,Number of private households main source lighting,Tafea,,,Elecricity- main grid,,,968
2020,Number of private households main source lighting,Tafea,,,Electricty- own generator,,,1
2020,Number of private households main source lighting,Tafea,,,Others,,,111
2020,Number of private households main source lighting,Tafea,,,Solar,,,6992
2009,Number of private households main source cooking fuel,,,,,,,47373
2009,Number of private households main source cooking fuel,,,,,Charcoal,,491
2009,Number of private households main source cooking fuel,,,,,Electricity,,461
2009,Number of private households main source cooking fuel,,,,,Gas,,5926
2009,Number of private households main source cooking fuel,,,,,"Open fire (wood , coconut shells)",,40364
2009,Number of private households main source cooking fuel,,,,,Others,,131
2009,Number of private households main source cooking fuel,Port Vila,,,,,,9054
2009,Number of private households main source cooking fuel,Port Vila,,,,Charcoal,,308
2009,Number of private households main source cooking fuel,Port Vila,,,,Electricity,,345
2009,Number of private households main source cooking fuel,Port Vila,,,,Gas,,4078
2009,Number of private households main source cooking fuel,Port Vila,,,,"Open fire (wood , coconut shells)",,4301
2009,Number of private households main source cooking fuel,Port Vila,,,,Others,,22
2009,Number of private households main source cooking fuel,Luganville,,,,,,2552
2009,Number of private households main source cooking fuel,Luganville,,,,Charcoal,,13
2009,Number of private households main source cooking fuel,Luganville,,,,Electricity,,35
2009,Number of private households main source cooking fuel,Luganville,,,,Gas,,593
2009,Number of private households main source cooking fuel,Luganville,,,,"Open fire (wood , coconut shells)",,1894
2009,Number of private households main source cooking fuel,Luganville,,,,Others,,17
2009,Number of private households main source cooking fuel,Torba,,,,,,1766
2009,Number of private households main source cooking fuel,Torba,,,,Charcoal,,0
2009,Number of private households main source cooking fuel,Torba,,,,Electricity,,2
2009,Number of private households main source cooking fuel,Torba,,,,Gas,,11
2009,Number of private households main source cooking fuel,Torba,,,,"Open fire (wood , coconut shells)",,1752
2009,Number of private households main source cooking fuel,Torba,,,,Others,,1
2009,Number of private households main source cooking fuel,Sanma,,,,,,6661
2009,Number of private households main source cooking fuel,Sanma,,,,Charcoal,,1
2009,Number of private households main source cooking fuel,Sanma,,,,Electricity,,10
2009,Number of private households main source cooking fuel,Sanma,,,,Gas,,159
2009,Number of private households main source cooking fuel,Sanma,,,,"Open fire (wood , coconut shells)",,6474
2009,Number of private households main source cooking fuel,Sanma,,,,Others,,17
2009,Number of private households main source cooking fuel,Penama,,,,,,6620
2009,Number of private households main source cooking fuel,Penama,,,,Charcoal,,79
2009,Number of private households main source cooking fuel,Penama,,,,Electricity,,5
2009,Number of private households main source cooking fuel,Penama,,,,Gas,,117
2009,Number of private households main source cooking fuel,Penama,,,,"Open fire (wood , coconut shells)",,6411
2009,Number of private households main source cooking fuel,Penama,,,,Others,,8
2009,Number of private households main source cooking fuel,Malampa,,,,,,7991
2009,Number of private households main source cooking fuel,Malampa,,,,Charcoal,,11
2009,Number of private households main source cooking fuel,Malampa,,,,Electricity,,8
2009,Number of private households main source cooking fuel,Malampa,,,,Gas,,114
2009,Number of private households main source cooking fuel,Malampa,,,,"Open fire (wood , coconut shells)",,7840
2009,Number of private households main source cooking fuel,Malampa,,,,Others,,18
2009,Number of private households main source cooking fuel,Shefa,,,,,,6876
2009,Number of private households main source cooking fuel,Shefa,,,,Charcoal,,77
2009,Number of private households main source cooking fuel,Shefa,,,,Electricity,,45
2009,Number of private households main source cooking fuel,Shefa,,,,Gas,,788
2009,Number of private households main source cooking fuel,Shefa,,,,"Open fire (wood , coconut shells)",,5930
2009,Number of private households main source cooking fuel,Shefa,,,,Others,,36
2009,Number of private households main source cooking fuel,Tafea,,,,,,5853
2009,Number of private households main source cooking fuel,Tafea,,,,Charcoal,,2
2009,Number of private households main source cooking fuel,Tafea,,,,Electricity,,11
2009,Number of private households main source cooking fuel,Tafea,,,,Gas,,66
2009,Number of private households main source cooking fuel,Tafea,,,,"Open fire (wood , coconut shells)",,5762
2009,Number of private households main source cooking fuel,Tafea,,,,Others,,12
2020,Number of private households main source cooking fuel,,,,,,,63365
2020,Number of private households main source cooking fuel,,,,,Charcoal,,444
2020,Number of private households main source cooking fuel,,,,,Electricity,,3755
2020,Number of private households main source cooking fuel,,,,,Gas,,7576
2020,Number of private households main source cooking fuel,,,,,"Open fire (wood , coconut shells)",,47390
2020,Number of private households main source cooking fuel,,,,,Others,,4200
2020,Number of private households main source cooking fuel,Port Vila,,,,,,11118
2020,Number of private households main source cooking fuel,Port Vila,,,,Charcoal,,340
2020,Number of private households main source cooking fuel,Port Vila,,,,Electricity,,1931
2020,Number of private households main source cooking fuel,Port Vila,,,,Gas,,4925
2020,Number of private households main source cooking fuel,Port Vila,,,,"Open fire (wood , coconut shells)",,3392
2020,Number of private households main source cooking fuel,Port Vila,,,,Others,,530
2020,Number of private households main source cooking fuel,Luganville,,,,,,3584
2020,Number of private households main source cooking fuel,Luganville,,,,Charcoal,,2
2020,Number of private households main source cooking fuel,Luganville,,,,Electricity,,444
2020,Number of private households main source cooking fuel,Luganville,,,,Gas,,672
2020,Number of private households main source cooking fuel,Luganville,,,,"Open fire (wood , coconut shells)",,2307
2020,Number of private households main source cooking fuel,Luganville,,,,Others,,159
2020,Number of private households main source cooking fuel,Torba,,,,,,2392
2020,Number of private households main source cooking fuel,Torba,,,,Charcoal,,2
